"public_path","original_sha256","sanitized_sha256","replacement_count","transformation","disposition"
"research/historical_reference/iise_2026/0 IISE 2026/Drafts/WebServer_NPY.py","9482aea0b1723940d4388aca01fb5cc77af4627b1248a6249d4d03e0cd2dd278","0d370eab0f05915033f2c389a1449a76b479c0e419bbb3a01567f8c02000bade","1","private Linux document root replaced with PROJECT_ROOT","sanitized_historical_reference"
"research/historical_reference/iise_2026/0 IISE 2026/Time Plot.py","e326925675a4956c4ac7b516ea3bc5897593f5e515a95f64d522b6cffe2c575f","59661c034609b6e5d8627ffb07f97816d3691a789fa997af538a1bf45258fe5c","1","private Linux document root replaced with PROJECT_ROOT","sanitized_historical_reference"
"research/historical_reference/iise_2026/0 IISE 2026/WebServer (NoWifi).py","866b562ec12a6bceaeed0c96e9ea3741c0d1ff77b44a233f4f99fc4d99592829","808956290df6b88b9a93caafaf43fc5232204e5a1cd9c43c9b8b070fbdcdc834","1","private Linux document root replaced with PROJECT_ROOT","sanitized_historical_reference"
"research/historical_reference/mpca_compression/0 IISE 2026/Drafts/5 MPCA.py","fcd59973e903c5baf073a79ba20cfed4a3859b8d1bb5d79639fe47ad2e365146","bed5e74d68fe2810d6c2e6dbc1e53124e12a299f4d3694e63f9ad54ffba0a588","2","private Linux document root replaced with PROJECT_ROOT","sanitized_historical_reference"
"research/historical_reference/offline_monitoring/0 IISE 2026/OfflineMonitorV1.py","ac9bd9b60d010827394ad77e080194a9aef4d2f64924615f4f29319c8fa57932","0f55370c4ece4537f3e052d80c1db573ff726972548932dbe6d9655e1e745712","2","private Linux document root replaced with PROJECT_ROOT","sanitized_historical_reference"
